Rank,Nome do Filme,Data de Lançamento,País de Origem,Link
31,A Viagem de Chihiro,18 de julho de 2003 (Brasil),"Japão, Estados Unidos da América",https://www.imdb.com/pt/title/tt0245429/
32,Kill Bill: Todo o Sangue Derramado,25 de dezembro de 1985 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt6019206/
33,Gladiador,19 de maio de 2000 (Brasil),"Estados Unidos da América, Reino Unido, Malta, Marrocos",https://www.imdb.com/pt/title/tt0172495/
34,O Pianista,7 de março de 2003 (Brasil),"França, Polônia, Alemanha, Reino Unido, Estados Unidos da América",https://www.imdb.com/pt/title/tt0253474/
35,Parasita,7 de novembro de 2019 (Brasil),Coreia do Sul,https://www.imdb.com/pt/title/tt6751668/
36,Túmulo dos Vagalumes,,,https://www.imdb.com/pt/title/tt0095327/
37,Psicose,19 de maio de 2000 (Brasil),"Estados Unidos da América, Reino Unido, Malta, Marrocos",https://www.imdb.com/pt/title/tt0054215/
38,O Rei Leão,,,https://www.imdb.com/pt/title/tt0110357/
39,Harakiri,7 de março de 2003 (Brasil),"França, Polônia, Alemanha, Reino Unido, Estados Unidos da América",https://www.imdb.com/pt/title/tt0056058/
40,Os Infiltrados,,,https://www.imdb.com/pt/title/tt0407887/
41,Whiplash: Em Busca da Perfeição,8 de janeiro de 2015 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt2582802/
42,O Grande Truque,2 de novembro de 2006 (Brasil),"Reino Unido, Estados Unidos da América",https://www.imdb.com/pt/title/tt0482571/
43,A Outra História Americana,8 de janeiro de 2015 (Brasil),Estados Unidos da América,https://www.imdb.com/pt/title/tt0120586/
44,O Profissional,,,https://www.imdb.com/pt/title/tt0110413/
45,Homem-Aranha: Através do Aranhaverso,,,https://www.imdb.com/pt/title/tt9362722/
46,Cinema Paradiso,,,https://www.imdb.com/pt/title/tt0095765/
47,Casablanca,,,https://www.imdb.com/pt/title/tt0034583/
48,Intocáveis,,,https://www.imdb.com/pt/title/tt1675434/
49,Os Suspeitos,,,https://www.imdb.com/pt/title/tt0114814/
50,Django Livre,,,https://www.imdb.com/pt/title/tt1853728/
51,Alien - O 8º Passageiro,,,https://www.imdb.com/pt/title/tt0078748/
52,Janela Indiscreta,,,https://www.imdb.com/pt/title/tt0047396/
53,Tempos Modernos,,,https://www.imdb.com/pt/title/tt0027977/
54,Era Uma Vez no Oeste,,,https://www.imdb.com/pt/title/tt0064116/
55,Luzes da Cidade,,,https://www.imdb.com/pt/title/tt0021749/
56,Apocalypse Now,,,https://www.imdb.com/pt/title/tt0078788/
57,WALL·E,,,https://www.imdb.com/pt/title/tt0910970/
58,Amnésia,,,https://www.imdb.com/pt/title/tt0209144/
59,Duna: Parte 2,,,https://www.imdb.com/pt/title/tt15239678/
60,Vingadores: Guerra Infinita,,,https://www.imdb.com/pt/title/tt4154756/
61,Os Caçadores da Arca Perdida,,,https://www.imdb.com/pt/title/tt0082971/
62,A Vida dos Outros,,,https://www.imdb.com/pt/title/tt0405094/
63,Homem-Aranha: No Aranhaverso,,,https://www.imdb.com/pt/title/tt4633694/
64,Crepúsculo dos Deuses,,,https://www.imdb.com/pt/title/tt0043014/
65,Testemunha de Acusação,,,https://www.imdb.com/pt/title/tt0051201/
66,Glória Feita de Sangue,,,https://www.imdb.com/pt/title/tt0050825/
67,O Iluminado,,,https://www.imdb.com/pt/title/tt0081505/
68,O Grande Ditador,,,https://www.imdb.com/pt/title/tt0032553/
69,Bastardos Inglórios,,,https://www.imdb.com/pt/title/tt0361748/
70,Aliens: O Resgate,,,https://www.imdb.com/pt/title/tt0090605/
71,Repetente,,,https://www.imdb.com/pt/title/tt23849204/
72,Céu e Inferno,,,https://www.imdb.com/pt/title/tt0057565/
